RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,63343,Aldrich Potgieter,325.0,35754,110
2,0,28237,Rory McIlroy,323.0,37472,116
3,0,57586,Jesper Svensson,321.4,52064,162
4,0,35706,Niklas Norgaard,319.6,31958,100
5,0,52453,Nicolai Højgaard,318.8,33156,104
6,1,48117,Kurt Kitayama,318.0,47061,148
6,0,57364,Michael Thorbjornsen,318.0,50241,158
8,0,49453,Trevor Cone,316.8,41185,130
9,0,59095,Chris Gotterup,316.7,57644,182
10,-1,46601,Trey Mullinax,316.2,39212,124
11,0,56762,Will Gordon,315.9,35383,112
12,0,52686,Rasmus Højgaard,314.9,41563,132
13,-1,66743,Luke Clanton,314.8,33998,108
14,0,39546,Keith Mitchell,314.4,50303,160
15,0,59836,Pierceson Coody,314.2,27649,88
15,1,38991,Alejandro Tosti,314.2,32367,103
17,-2,56781,Isaiah Salinda,314.0,42070,134
18,0,52955,Ludvig Åberg,313.9,43325,138
18,0,50474,Tim Widing,313.9,27621,88
20,1,37378,Min Woo Lee,313.8,41428,132
21,-3,57123,Steven Fisk,313.6,47045,150
21,-4,35658,Kris Ventura,313.6,47663,152
23,0,47420,Jake Knapp,313.4,48264,154
24,0,57366,Cameron Young,313.2,54494,174
25,-3,48867,Matti Schmid,313.0,52583,168
25,0,31323,Gary Woodland,313.0,47582,152
27,0,54421,Garrick Higgo,312.9,30034,96
28,0,47988,Nick Hardy,312.6,36887,118
29,-3,59440,Ricky Castillo,312.4,46237,148
29,-2,60882,Thomas Rosenmueller,312.4,43116,138
31,-2,50484,Hayden Springer,312.0,41181,132
32,-2,48081,Xander Schauffele,311.9,39922,128
33,-2,51766,Wyndham Clark,311.7,51124,164
34,-3,27139,David Skinns,311.3,42958,138
35,-2,40250,Taylor Pendrith,311.2,51035,164
36,-3,27129,Luke List,310.9,44148,142
37,-2,46646,Antoine Rozner,310.5,41606,134
38,1,45242,Kevin Yu,310.2,56449,182
39,-1,60019,Jackson Suber,310.0,42786,138
40,-4,33597,Harry Higgs,309.9,47105,152
41,0,51696,Rico Hoey,309.8,57009,184
41,-4,51894,Vince Whaley,309.8,56997,184
43,-3,49947,Taylor Moore,309.7,48317,156
43,0,63121,William Mouw,309.7,42745,138
45,-3,36699,Patrick Rodgers,309.3,56914,184
46,-2,27064,Jhonattan Vegas,309.0,43880,142
46,-2,54607,Danny Walker,309.0,40169,130
48,-2,29936,Ryan Fox,308.7,43213,140
48,-2,54304,Karl Vilips,308.7,35813,116
50,-4,51977,Max Greyserman,308.6,57396,186
51,-5,50582,Jeremy Paul,308.4,41938,136
51,-1,46340,Alex Smalley,308.4,48114,156
53,-2,46046,Scottie Scheffler,308.3,49322,160
54,-2,40006,Erik van Rooyen,307.9,41870,136
55,-3,54576,Patrick Fishburn,307.8,48636,158
56,0,39335,Kevin Roy,307.6,49834,162
57,-3,47504,Sam Burns,307.5,57805,188
58,-4,33968,Thorbjørn Olesen,307.2,44238,144
59,-2,47347,Adam Schenk,307.1,43604,142
60,-2,46442,Maverick McNealy,306.8,57677,188
61,5,58605,Quade Cummins,306.7,45398,148
61,-1,36799,Stephan Jaeger,306.7,53361,174
63,-3,33948,Byeong Hun An,306.6,53956,176
63,9,55708,Hayden Buckley,306.6,31885,104
63,-3,34046,Jordan Spieth,306.6,41703,136
66,-7,32070,Rafael Campos,306.5,45969,150
66,-3,33653,Thomas Detry,306.5,50267,164
68,-4,33141,Keegan Bradley,306.4,49031,160
69,-5,64693,Matthew Riedel,306.2,35520,116
70,3,39324,J.J. Spaun,306.1,55710,182
71,-4,55893,Sam Stevens,306.0,62430,204
72,-2,35450,Patrick Cantlay,305.9,45266,148
72,-5,39859,Cristobal Del Solar,305.9,38547,126
74,-4,47995,Davis Riley,305.6,50111,164
75,-8,34587,Chan Kim,305.5,44603,146
75,9,52144,Braden Thornberry,305.5,33603,110
77,0,47679,Victor Perez,305.4,48859,160
78,-5,32102,Rickie Fowler,305.3,47019,154
78,-5,33448,Justin Thomas,305.3,48846,160
80,-7,54591,Ben Griffin,305.1,63460,208
81,-2,52375,Doug Ghim,305.0,47577,156
81,-4,35461,Beau Hossler,305.0,53675,176
83,-4,29725,Tony Finau,304.9,43292,142
83,-4,55789,Taylor Montgomery,304.9,36583,120
83,-4,24502,Adam Scott,304.9,40252,132
86,-3,58168,Davis Thompson,304.8,52423,172
87,-2,34099,Harris English,304.3,51130,168
88,-2,59143,Mac Meissner,304.2,48676,160
89,-1,49590,Frankie Capan III,304.1,38312,126
89,-2,48887,Matt Wallace,304.1,44401,146
91,-2,57975,Harry Hall,303.6,57074,188
91,-2,51634,Sahith Theegala,303.6,41894,138
93,-2,59018,Ryan Gerard,303.3,58240,192
93,-2,46717,Viktor Hovland,303.3,39431,130
95,-2,51690,Taylor Dickson,303.0,36962,122
96,1,33399,Adam Hadwin,302.8,47842,158
97,-3,40098,Matt Fitzpatrick,302.7,44797,148
97,-3,52215,Robert MacIntyre,302.7,50846,168
99,-3,40026,Daniel Berger,302.6,45395,150
100,0,60004,Jacob Bridgeman,302.5,55654,184
101,1,58619,Kevin Velo,302.4,35682,118
102,-2,45157,Cam Davis,302.2,38678,128
102,-5,54628,Lee Hodges,302.2,42303,140
104,-7,55165,Noah Goodwin,302.0,39266,130
105,-3,36801,Mark Hubbard,301.9,54339,180
105,-3,22405,Justin Rose,301.9,35020,116
107,-2,34021,Bud Cauley,301.8,43466,144
108,1,37275,Sam Ryder,301.6,49469,164
109,0,55623,Kaito Onishi,301.5,32560,108
110,1,35506,Mackenzie Hughes,301.4,50628,168
111,-4,34466,Peter Malnati,301.3,37960,126
112,-5,58933,Will Chandler,301.1,42452,141
112,1,35310,Lanto Griffin,301.1,40345,134
112,-6,28252,Seamus Power,301.1,44559,148
112,3,39327,Ben Silverman,301.1,40344,134
116,-5,51997,Andrew Novak,301.0,51169,170
117,-3,39977,Max Homa,300.8,43917,146
118,5,40162,Justin Lower,300.6,45685,152
119,1,57362,Austin Eckroat,300.5,49281,164
120,-4,28089,Jason Day,300.3,37234,124
120,-2,31646,Emiliano Grillo,300.3,55859,186
122,-5,32839,Hideki Matsuyama,300.2,51637,172
123,-3,51950,Max McGreevy,300.1,49219,164
124,-6,47983,Chad Ramey,300.0,46197,154
125,-5,60067,Joe Highsmith,299.9,47984,160
125,5,48153,Matthieu Pavon,299.9,45579,152
127,-4,57900,Chandler Phillips,299.8,43768,146
128,-5,39975,Michael Kim,299.7,57540,192
129,-3,45523,Thriston Lawrence,299.5,31144,104
130,-3,30911,Tommy Fleetwood,299.4,44318,148
130,-3,28775,Nate Lashley,299.4,31735,106
132,2,59866,Nick Dunlap,299.3,44292,148
132,-2,51287,Ryo Hisatsune,299.3,51485,172
132,-2,55182,Tom Kim,299.3,51488,172
135,-8,52370,Mason Andersen,299.1,35295,118
136,11,32757,Patton Kizzire,299.0,37070,124
137,-7,34076,Joel Dahmen,298.9,43646,146
137,-2,59141,Matt McCarty,298.9,50818,170
139,-3,56630,Akshay Bhatia,298.7,51966,174
139,-3,33413,Ben Martin,298.7,28080,94
141,-3,47591,Eric Cole,298.4,60281,202
141,-2,52666,Sami Valimaki,298.4,45953,154
143,-3,50525,Collin Morikawa,298.3,45340,152
144,-3,39997,Corey Conners,298.2,48306,162
144,-3,30926,Chris Kirk,298.2,44127,148
146,-3,33204,Shane Lowry,298.1,41727,140
146,-1,23320,Ryan Palmer,298.1,28621,96
148,1,36884,Ben Kohles,297.9,45278,152
148,-2,51890,Greyson Sigg,297.9,41105,138
148,-4,49960,Sepp Straka,297.9,45286,152
151,-3,37455,Si Woo Kim,297.4,56503,190
152,-1,52513,Carson Young,297.2,42793,144
153,-3,40115,Adam Svensson,297.0,44548,150
154,0,51349,Nico Echavarria,296.9,48100,162
154,-2,39971,Sungjae Im,296.9,57601,194
156,-1,35532,Tom Hoge,296.6,53380,180
156,-3,30163,Henrik Norlander,296.6,46863,158
158,-2,47993,Denny McCarthy,295.6,49667,168
159,-2,49771,J.T. Poston,295.4,51986,176
160,-1,25493,Nick Taylor,295.2,48415,164
161,-3,36326,David Lipsky,294.9,46001,156
162,-3,27644,Brian Harman,294.7,51280,174
163,-2,47917,Takumi Kanaya,294.0,44094,150
164,0,59160,John Pak,292.4,39188,134
165,-3,25900,Lucas Glover,292.3,43846,150
166,-3,27770,Camilo Villegas,291.9,37951,130
167,-1,40058,Zac Blair,291.4,30885,106
167,-3,29535,Brice Garnett,291.4,37303,128
169,-2,45522,Christiaan Bezuidenhout,290.0,51615,178
170,-2,46414,Aaron Rai,289.6,41705,144
171,-2,34098,Russell Henley,289.1,41631,144
172,-2,33199,Matteo Manassero,288.3,27676,96
173,-2,27649,Brandt Snedeker,287.0,35590,124
174,-1,23108,Matt Kuchar,284.9,34187,120
175,-3,36824,Paul Peterson,284.6,33012,116
176,-2,34256,Andrew Putnam,282.5,41814,148
177,-2,46443,Brian Campbell,278.4,37857,136